measure calculation,annex,country,fishing_activity,fishing_capacity,gt_days_at_sea,no_vessels,nominal_effort,regulated area,regulated gear,specon,vessel length,year
265661.35,BOB,FRA,1459.72,5714,24197.82,9,265661.35,8A-BOB,PEL_TRAWL,NONE,O10T15M,2009
1884.53,BOB,FRA,18.6,417,404.08,1,1884.53,8B-BOB,PEL_TRAWL,NONE,O10T15M,2009
236349.43,BOB,FRA,1650.49,3348,26481.78,22,236349.43,8A-BOB,POTS,NONE,O10T15M,2009
26480.85,BOB,FRA,229.69,831,2053.37,4,26480.85,8B-BOB,POTS,NONE,O10T15M,2009
332336.14,BOB,FRA,2440.44,10036,28477.61,15,332336.14,8A-BOB,TRAMMEL,NONE,O10T15M,2009
289719.39,BOB,FRA,1169.68,5126,17637.76,12,289719.39,8B-BOB,TRAMMEL,NONE,O10T15M,2009
2255,BOB,ENG,,410,443.74,1,2255,8A-BOB,GILL,NONE,O10T15M,2010
588,BOB,ESP,14,80.38,200.95,1,588,8A-BOB,GILL,NONE,O10T15M,2010
227.92,BOB,ESP,3,24.88,39.15,1,227.92,8B-BOB,GILL,NONE,O10T15M,2010
22103.79,BOB,ESP,444,94.45,4060.39,5,22103.79,8B-BOB,LONGLINE,NONE,O10T15M,2010
80.85,BOB,ESP,1,19.33,19.33,1,80.85,8A-BOB,NONE,NONE,O10T15M,2010
21390.4,BOB,ESP,325,72.4,3158.86,3,21390.4,8B-BOB,NONE,NONE,O10T15M,2010
191.84,BOB,ESP,3,27.42,41.13,1,191.84,8A-BOB,OTTER,NONE,O10T15M,2010
114.66,BOB,ESP,5,16.34,23.28,1,114.66,8B-BOB,PEL_SEINE,NONE,O10T15M,2010
2991.45,BOB,ESP,37,38.66,715.21,1,2991.45,8A-BOB,POTS,NONE,O10T15M,2010
970.2,BOB,ESP,33,13.88,229.02,1,970.2,8B-BOB,POTS,NONE,O10T15M,2010
2305.08,BOB,ESP,30,75.24,390.58,3,2305.08,8B-BOB,TRAMMEL,NONE,O10T15M,2010
110.5,BOB,FRA,0.5,221,18.1,1,110.5,8A-BOB,BEAM,NONE,O10T15M,2010
104325.55,BOB,FRA,951.4,9985,10233.98,52,104325.55,8A-BOB,DREDGE,NONE,O10T15M,2010
16174.11,BOB,FRA,190.56,3756,1700.92,14,16174.11,8B-BOB,DREDGE,NONE,O10T15M,2010
179386.21,BOB,FRA,1223.21,5461,15675.75,6,179386.21,8A-BOB,GILL,NONE,O10T15M,2010
76484.8,BOB,FRA,782.92,4371,6631.91,7,76484.8,8B-BOB,GILL,NONE,O10T15M,2010
485209.29,BOB,FRA,3403.32,5541,31188.41,36,485209.29,8A-BOB,LONGLINE,NONE,O10T15M,2010
221223.92,BOB,FRA,1920.21,3111,17789.46,22,221223.92,8B-BOB,LONGLINE,NONE,O10T15M,2010
2178325.34,BOB,FRA,13879.55,48262,289577.7,63,2178325.34,8A-BOB,OTTER,NONE,O10T15M,2010
235274.6,BOB,FRA,2685.94,11812,25484.88,22,235274.6,8B-BOB,OTTER,NONE,O10T15M,2010
114992.92,BOB,FRA,614.62,1862,18981.36,6,114992.92,8A-BOB,PEL_SEINE,NONE,O10T15M,2010
39173.66,BOB,FRA,314.79,789,4600.64,3,39173.66,8B-BOB,PEL_SEINE,NONE,O10T15M,2010
273636.44,BOB,FRA,1519.68,7725,23540,8,273636.44,8A-BOB,PEL_TRAWL,NONE,O10T15M,2010
1081,BOB,FRA,10,456,63.51,2,1081,8B-BOB,PEL_TRAWL,NONE,O10T15M,2010
331136.24,BOB,FRA,2286.4,4699,35413.34,26,331136.24,8A-BOB,POTS,NONE,O10T15M,2010
27579.05,BOB,FRA,244.26,1520,2193.91,9,27579.05,8B-BOB,POTS,NONE,O10T15M,2010
364508.22,BOB,FRA,2655.22,10812,33829.58,16,364508.22,8A-BOB,TRAMMEL,NONE,O10T15M,2010
40211.5,BOB,FRA,344.24,2319,4049.62,7,40211.5,8B-BOB,TRAMMEL,NONE,O10T15M,2010
